time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,6.276120691822757891e+00,1.219304283024547075e-02,-2.815405685382664114e+00,4.860041485586611643e+00,0.000000000000000000e+00,1.000000000000000000e+01
1.000000000000000021e-02,6.255047308219388924e+00,4.857081581038791285e-02,-5.610910734340144757e+00,9.685411675580681390e+00,0.000000000000000000e+00,1.000000000000000000e+01
1.499999999999999944e-02,6.220065942097301459e+00,1.089456127327639301e-01,-8.372589443978975865e+00,1.444759067511614248e+01,0.000000000000000000e+00,1.000000000000000000e+01
2.000000000000000042e-02,6.171461933221365825e+00,1.927838031559123699e-01,-1.104855962890711041e+01,1.904938624697254568e+01,0.000000000000000000e+00,1.000000000000000000e+01
2.500000000000000139e-02,6.109861666135547154e+00,2.989120899577057955e-01,-1.355497500476710826e+01,2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
2.999999999999999889e-02,6.036115739413630443e+00,4.089515373117786901e-01,-1.590191535129555511e+01,2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
3.500000000000000333e-02,5.951038039279993974e+00,5.180235984492105317e-01,-1.808838108931759692e+01,2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
4.000000000000000083e-02,5.855483197440246812e+00,6.259739875153726985e-01,-2.000000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
4.499999999999999833e-02,5.762409072764081763e+00,7.131964542985440580e-01,-1.725820503576197851e+01,1.495253214756523263e+01,0.000000000000000000e+00,-9.998459219932556152e+00
5.000000000000000278e-02,5.682202392214085407e+00,7.768508168320664709e-01,-1.484061404978194076e+01,1.055372522946219505e+01,0.000000000000000000e+00,-9.157194495201110840e+00
5.500000000000000028e-02,5.603842679232573509e+00,8.359783708537538160e-01,-1.648921267146907255e+01,1.305709138444568040e+01,0.000000000000000000e+00,9.401109218597412109e+00
5.999999999999999778e-02,5.526743552273304161e+00,8.914700795338950101e-01,-1.436086179011474329e+01,9.175795083706889343e+00,0.000000000000000000e+00,-8.394429087638854980e+00
6.500000000000000222e-02,5.450807419684355892e+00,9.436487853035848694e-01,-1.600310183023657018e+01,1.166086276194871019e+01,0.000000000000000000e+00,9.996080398559570312e+00
7.000000000000000666e-02,5.367194671873255274e+00,1.007089842546066372e+00,-1.743096672994990115e+01,1.367869680451627445e+01,0.000000000000000000e+00,9.249247312545776367e+00
7.499999999999999722e-02,5.285554763925753186e+00,1.065288567526508690e+00,-1.523475110847352987e+01,9.641894559735028736e+00,0.000000000000000000e+00,-9.617109298706054688e+00
8.000000000000000167e-02,5.205725167159857669e+00,1.118768892381964086e+00,-1.669010238622471576e+01,1.171993710561073776e+01,0.000000000000000000e+00,9.999887943267822266e+00
8.500000000000000611e-02,5.119181623732577791e+00,1.181422857781762481e+00,-1.792089815519820917e+01,1.331234084741563173e+01,0.000000000000000000e+00,8.983002901077270508e+00
8.999999999999999667e-02,5.034600097934943008e+00,1.238559077112153739e+00,-1.591648002521056071e+01,9.578468081193868500e+00,0.000000000000000000e+00,-9.554038047790527344e+00
9.500000000000000111e-02,4.951742087508469226e+00,1.290886664319714106e+00,-1.722365173385812298e+01,1.132814966116233180e+01,0.000000000000000000e+00,9.998489618301391602e+00
1.000000000000000056e-01,4.862886456225087528e+00,1.350793808357040326e+00,-1.831618470817776512e+01,1.261240257869620862e+01,0.000000000000000000e+00,8.799403905868530273e+00
1.049999999999999961e-01,4.775981542415215664e+00,1.405010396651887650e+00,-1.644466175580055989e+01,9.104921481767528135e+00,0.000000000000000000e+00,-9.677864909172058105e+00
1.100000000000000006e-01,4.690799610588619828e+00,1.454302517333311062e+00,-1.762853541766211762e+01,1.059339355298127927e+01,0.000000000000000000e+00,9.944775104522705078e+00
1.150000000000000050e-01,4.606890185427530149e+00,1.499402076042401610e+00,-1.592882779174877683e+01,7.468478460857472356e+00,0.000000000000000000e+00,-8.855586647987365723e+00
1.199999999999999956e-01,4.524977720950926319e+00,1.539567319412849189e+00,-1.683815597666643171e+01,8.586803715172043994e+00,0.000000000000000000e+00,8.689794540405273438e+00
1.250000000000000000e-01,4.445409499482646964e+00,1.574357802205694323e+00,-1.497772626146518249e+01,5.347574193531229092e+00,0.000000000000000000e+00,-9.958603978157043457e+00
1.300000000000000044e-01,4.373379207626204135e+00,1.596232362986203412e+00,-1.382550511313482566e+01,3.410296773418815430e+00,0.000000000000000000e+00,-4.645910859107971191e+00
1.350000000000000089e-01,4.305098833713551620e+00,1.611869586998157633e+00,-1.348402857734754612e+01,2.848003408174658801e+00,0.000000000000000000e+00,1.233066320419311523e+00
1.400000000000000133e-01,4.241528639464934081e+00,1.620149726834983595e+00,-1.193190436118910291e+01,4.707934284902672850e-01,0.000000000000000000e+00,-6.924284100532531738e+00
1.449999999999999900e-01,4.183423059793173415e+00,1.620479609088958162e+00,-1.131416279495728006e+01,-3.233337133464976310e-01,0.000000000000000000e+00,-1.049768924713134766e-01
1.499999999999999944e-01,4.128368214574626549e+00,1.617032990810711723e+00,-1.070573522705935332e+01,-1.050337212372651541e+00,0.000000000000000000e+00,-1.676738262176513672e-01
1.549999999999999989e-01,4.075855702651844936e+00,1.610846430793046347e+00,-1.029981296550644387e+01,-1.418910072591368587e+00,0.000000000000000000e+00,1.282449960708618164e+00
1.600000000000000033e-01,4.025596168484365300e+00,1.602534201553932558e+00,-9.804187388504296052e+00,-1.900583765995797147e+00,0.000000000000000000e+00,6.403422355651855469e-01
1.650000000000000078e-01,3.977414693929697709e+00,1.592510439932536936e+00,-9.470627439057654584e+00,-2.103004679638623919e+00,0.000000000000000000e+00,1.718591451644897461e+00
1.700000000000000122e-01,3.930920556245355080e+00,1.581477944354926057e+00,-9.129452200834260012e+00,-2.304040745003895996e+00,0.000000000000000000e+00,1.568814516067504883e+00
1.750000000000000167e-01,3.886173565023040233e+00,1.569405357487859476e+00,-8.771857646345024406e+00,-2.519064965604911777e+00,0.000000000000000000e+00,1.352871656417846680e+00
1.799999999999999933e-01,3.843134067848566815e+00,1.556411002792938758e+00,-8.446966159370488114e+00,-2.672653509797128457e+00,0.000000000000000000e+00,1.463296413421630859e+00
1.849999999999999978e-01,3.801747278295562360e+00,1.542620924537855043e+00,-8.110808492529557157e+00,-2.837450286281886669e+00,0.000000000000000000e+00,1.261198520660400391e+00
