time,pos1,pos2,vel1,vel2,tau1,tau2
6.500000000000000222e-02,9.178678463320948389e-01,-1.080759296926800062e+00,1.957687051022174174e+01,-1.677147511937929281e+01,0.000000000000000000e+00,-2.127395868301391602e+00
7.000000000000000666e-02,1.015776282664715424e+00,-1.163064848715623434e+00,1.958774842143534300e+01,-1.614734939221428078e+01,0.000000000000000000e+00,-2.100802659988403320e+00
7.499999999999999722e-02,1.113708954881864166e+00,-1.242123953712242823e+00,1.958676903363438271e+01,-1.547448085929531381e+01,0.000000000000000000e+00,-1.986679434776306152e+00
8.000000000000000167e-02,1.211637482619514428e+00,-1.317762703686780057e+00,1.958589697148224218e+01,-1.478006241214215777e+01,0.000000000000000000e+00,-1.938595175743103027e+00
8.500000000000000611e-02,1.309562644310976021e+00,-1.389891902916026822e+00,1.958499873309055062e+01,-1.407120904201580558e+01,0.000000000000000000e+00,-1.899393796920776367e+00
8.999999999999999667e-02,1.407547387743607548e+00,-1.458558337099852054e+00,1.960913253991880012e+01,-1.339476297376013747e+01,0.000000000000000000e+00,-2.038217782974243164e+00
9.500000000000000111e-02,1.505658759878753417e+00,-1.523843279284250229e+00,1.963503749252908293e+01,-1.271880855980065839e+01,0.000000000000000000e+00,-2.052438259124755859e+00
1.000000000000000056e-01,1.603840300455786627e+00,-1.585664918988989314e+00,1.963647051922796649e+01,-1.200999099025903405e+01,0.000000000000000000e+00,-1.916952133178710938e+00
1.049999999999999961e-01,1.701943609016420389e+00,-1.643844959491562285e+00,1.960288296069546377e+01,-1.126273130293383318e+01,0.000000000000000000e+00,-1.738213300704956055e+00
1.100000000000000006e-01,1.799825506772825934e+00,-1.698269457309503849e+00,1.954707324899356990e+01,-1.050803086961147770e+01,0.000000000000000000e+00,-1.682398319244384766e+00
1.150000000000000050e-01,1.897334868425115229e+00,-1.748863457131597521e+00,1.945299011784769405e+01,-9.730950635092391110e+00,0.000000000000000000e+00,-1.546885967254638672e+00
1.199999999999999956e-01,1.994293547423288571e+00,-1.795561449946037058e+00,1.932604831073031093e+01,-8.949938680426766879e+00,0.000000000000000000e+00,-1.484910249710083008e+00
1.250000000000000000e-01,2.090505109207676071e+00,-1.838316960231859198e+00,1.915341782648426872e+01,-8.154387511002422428e+00,0.000000000000000000e+00,-1.359757781028747559e+00
1.300000000000000044e-01,2.185992439214771377e+00,-1.877452525915325410e+00,1.903680970736615663e+01,-7.501531394073655434e+00,0.000000000000000000e+00,-2.004417181015014648e+00
1.350000000000000089e-01,2.280852026524597509e+00,-1.913391110591478039e+00,1.890223469479527907e+01,-6.875918916909334655e+00,0.000000000000000000e+00,-2.084883451461791992e+00
1.400000000000000133e-01,2.374565491263789241e+00,-1.945647056435913846e+00,1.857645393534400213e+01,-6.029943324435508956e+00,0.000000000000000000e+00,-8.850389719009399414e-01
1.449999999999999900e-01,2.463806408618608668e+00,-1.969731292090241226e+00,1.710003366044236373e+01,-3.612783307676712852e+00,0.000000000000000000e+00,7.372128963470458984e+00
1.499999999999999944e-01,2.545126275926331338e+00,-1.981506202101777525e+00,1.540715974504916730e+01,-1.104716258179804900e+00,0.000000000000000000e+00,8.099930286407470703e+00
1.549999999999999989e-01,2.617121453303423273e+00,-1.980038832460844667e+00,1.337506088016140282e+01,1.676761298368111497e+00,0.000000000000000000e+00,9.968626499176025391e+00
1.600000000000000033e-01,2.678656557251295478e+00,-1.964767478024005420e+00,1.121907739334219656e+01,4.428795772602486025e+00,0.000000000000000000e+00,9.999848604202270508e+00
1.650000000000000078e-01,2.729126139271362383e+00,-1.935766297047496920e+00,8.951517588189224384e+00,7.171704752140211525e+00,0.000000000000000000e+00,9.999943971633911133e+00
1.700000000000000122e-01,2.768012998351836007e+00,-1.893032574130244505e+00,6.588639784265339472e+00,9.925601883386168112e+00,0.000000000000000000e+00,9.999605417251586914e+00
1.750000000000000167e-01,2.794889538172190768e+00,-1.836465765562356189e+00,4.149574833778508776e+00,1.270989864892703736e+01,0.000000000000000000e+00,9.966092109680175781e+00
1.799999999999999933e-01,2.810187563888675299e+00,-1.767022269683192093e+00,1.962971720750541937e+00,1.507766524863925284e+01,0.000000000000000000e+00,7.643232345581054688e+00
1.849999999999999978e-01,2.815397026426343707e+00,-1.687008540631770082e+00,1.200916032955916535e-01,1.693656161577480290e+01,0.000000000000000000e+00,4.949111938476562500e+00
1.900000000000000022e-01,2.813857162157439085e+00,-1.601384425744124762e+00,-7.175479048608304211e-01,1.730077360705882583e+01,0.000000000000000000e+00,-1.830047369003295898e+00
1.950000000000000067e-01,2.809090095878986393e+00,-1.515232373228077023e+00,-1.170235397292748836e+00,1.714439403701742393e+01,0.000000000000000000e+00,-3.781397342681884766e+00
2.000000000000000111e-01,2.801977620272080749e+00,-1.429517505409673817e+00,-1.658523394896469272e+00,1.712856994247750464e+01,0.000000000000000000e+00,-2.829732894897460938e+00
2.050000000000000155e-01,2.793106487894149836e+00,-1.344790360206678415e+00,-1.870874742833194215e+00,1.674397138627909243e+01,0.000000000000000000e+00,-3.932147026062011719e+00
2.099999999999999922e-01,2.783559193597123560e+00,-1.262430670080704864e+00,-1.928483806651635657e+00,1.617936516326403407e+01,0.000000000000000000e+00,-4.174199104309082031e+00
2.149999999999999967e-01,2.773799102849343168e+00,-1.182851975691251667e+00,-1.957667507038481025e+00,1.563268271770399309e+01,0.000000000000000000e+00,-3.672374486923217773e+00
2.200000000000000011e-01,2.763712739504932792e+00,-1.105564167887861160e+00,-2.062147531102601850e+00,1.526663102282549822e+01,0.000000000000000000e+00,-2.679485082626342773e+00
2.250000000000000056e-01,2.753172238511109260e+00,-1.030095081699538895e+00,-2.140408653672904116e+00,1.490593641021188631e+01,0.000000000000000000e+00,-2.355427742004394531e+00
2.300000000000000100e-01,2.742018795612190640e+00,-9.559481126326829781e-01,-2.310136995366965706e+00,1.474138405108012506e+01,0.000000000000000000e+00,-1.486077904701232910e+00
2.350000000000000144e-01,2.729450658563894905e+00,-8.815769860101712041e-01,-2.710914591342933999e+00,1.500237937112629183e+01,0.000000000000000000e+00,-5.973994731903076172e-02
2.399999999999999911e-01,2.714570146236538584e+00,-8.052959846027603064e-01,-3.237551357037327104e+00,1.550905311403854725e+01,0.000000000000000000e+00,6.945550441741943359e-01
2.449999999999999956e-01,2.696964936711084171e+00,-7.262469180888757592e-01,-3.801532258457055669e+00,1.611070309674999734e+01,0.000000000000000000e+00,9.613180160522460938e-01
2.500000000000000000e-01,2.676639417045842961e+00,-6.442807347430496989e-01,-4.324924115504521716e+00,1.667455346580076991e+01,0.000000000000000000e+00,8.705127239227294922e-01
2.550000000000000044e-01,2.653767047148495095e+00,-5.595377310800992987e-01,-4.819521521710234957e+00,1.722002522245428935e+01,0.000000000000000000e+00,8.528244495391845703e-01
2.600000000000000089e-01,2.628565917159956022e+00,-4.722385658975838396e-01,-5.255054856562949794e+00,1.769451722760821966e+01,0.000000000000000000e+00,7.387292385101318359e-01
2.650000000000000133e-01,2.601609043729873338e+00,-3.832169521690076408e-01,-5.519075892452710796e+00,1.790409566976200040e+01,0.000000000000000000e+00,2.389299869537353516e-01
2.700000000000000178e-01,2.574912026359776895e+00,-2.957915930525514270e-01,-5.144874318721583073e+00,1.704494447258791112e+01,0.000000000000000000e+00,-1.894966363906860352e+00
2.750000000000000222e-01,2.551000614865305050e+00,-2.141716415276713192e-01,-4.405259282847372226e+00,1.558209124995903139e+01,0.000000000000000000e+00,-2.906120419502258301e+00
2.800000000000000266e-01,2.530526540395874324e+00,-1.393612691273364845e-01,-3.774576949219027533e+00,1.432849762580297082e+01,0.000000000000000000e+00,-2.257725000381469727e+00
2.850000000000000311e-01,2.513767108871706402e+00,-7.173894584439910460e-02,-2.922107647384341256e+00,1.271103485271867051e+01,0.000000000000000000e+00,-2.860604524612426758e+00
2.899999999999999800e-01,2.502610244599741129e+00,-1.447538559073979769e-02,-1.536574824776061110e+00,1.018962691618988003e+01,0.000000000000000000e+00,-4.608194828033447266e+00
2.949999999999999845e-01,2.499896969842700933e+00,2.759658965889588700e-02,4.465662703864516914e-01,6.646974732039408806e+00,0.000000000000000000e+00,-6.665746569633483887e+00
