time,pos1,pos2,vel1,vel2,tau1,tau2
5.999999999999999084e-02,5.647355485574248046e-01,-9.646968525157560981e-01,1.171396787599423739e+01,-1.955911574030053046e+01,0.000000000000000000e+00,-1.732257952778463839e+00
6.499999999999998834e-02,6.230737134957958778e-01,-1.061713346080036535e+00,1.162171236850129397e+01,-1.924527825507309942e+01,0.000000000000000000e+00,-1.728762461369892200e+00
6.999999999999999278e-02,6.809614026536174869e-01,-1.157134797082336020e+00,1.153495092666105037e+01,-1.892295034549488619e+01,0.000000000000000000e+00,-1.749013498768106967e+00
7.499999999999999722e-02,7.384525424138047578e-01,-1.250960733241202494e+00,1.146393958571893457e+01,-1.860828402326869480e+01,0.000000000000000000e+00,-1.786736731642888154e+00
8.000000000000000167e-02,7.956443145196487876e-01,-1.343256482729952905e+00,1.141582965459678256e+01,-1.831163104954038801e+01,0.000000000000000000e+00,-1.824275397822615830e+00
8.500000000000000611e-02,8.526591981364430861e-01,-1.434120561400249239e+00,1.139369718014850186e+01,-1.803611691458317878e+01,0.000000000000000000e+00,-1.851638802568382536e+00
9.000000000000001055e-02,9.096299194127640542e-01,-1.523657832679480295e+00,1.139862358820865929e+01,-1.778126830392666236e+01,0.000000000000000000e+00,-1.858850618777123209e+00
9.500000000000001499e-02,9.666906736121029242e-01,-1.611963906632191801e+00,1.143014968106202289e+01,-1.754393360042122652e+01,0.000000000000000000e+00,-1.845828676747468977e+00
1.000000000000000194e-01,1.023973628440461692e+00,-1.699118872353564846e+00,1.148792687487378039e+01,-1.732107302688613615e+01,0.000000000000000000e+00,-1.822335447768974159e+00
1.050000000000000239e-01,1.081612747961454124e+00,-1.785193099652836679e+00,1.157301080189252929e+01,-1.711182212290473359e+01,0.000000000000000000e+00,-1.786201171642149976e+00
1.100000000000000283e-01,1.139746303610067457e+00,-1.870251069994790960e+00,1.168606818531875824e+01,-1.691471170966470794e+01,0.000000000000000000e+00,-1.742684146477269769e+00
1.150000000000000328e-01,1.198517305492083018e+00,-1.954352335458720225e+00,1.182831439513912031e+01,-1.672923694009653417e+01,0.000000000000000000e+00,-1.685847461864900865e+00
1.200000000000000372e-01,1.258072270472239573e+00,-2.037550653904219189e+00,1.199992189992980585e+01,-1.655360648032898041e+01,0.000000000000000000e+00,-1.621441413312933788e+00
1.250000000000000278e-01,1.318559493434487750e+00,-2.119893456215911964e+00,1.220140019459033276e+01,-1.638707306697586219e+01,0.000000000000000000e+00,-1.551988215116300918e+00
1.300000000000000322e-01,1.380129146597441236e+00,-2.201425228876683349e+00,1.243295673735614137e+01,-1.622920698884315982e+01,0.000000000000000000e+00,-1.473412943965207944e+00
